County,Enrollment_2015,PBE_2015,PME_2015,Enrollment_2016,PBE_2016,PME_2016,CTFIPS,County_fips
alameda,21587,518,28,21910,32,76,06001,6001
amador,302,20,3,290,2,0,06005,6005
butte,2879,304,6,2814,17,29,06007,6007
calaveras,417,86,0,462,8,3,06009,6009
colusa,393,0,0,411,0,1,06011,6011
contra costa,15317,604,30,15434,68,68,06013,6013
del norte,330,54,0,401,0,1,06015,6015
el dorado,2232,320,7,2205,24,31,06017,6017
fresno,18691,350,14,18779,30,33,06019,6019
glenn,478,22,1,481,2,1,06021,6021
humboldt,1653,336,4,1799,30,16,06023,6023
imperial,3200,34,5,3254,3,5,06025,6025
inyo,204,2,0,212,0,2,06027,6027
kern,16407,482,25,16497,223,27,06029,6029
kings,2570,48,3,2731,2,5,06031,6031
lake,785,36,6,840,0,6,06033,6033
lassen,369,66,3,357,4,5,06035,6035
los angeles,133398,3882,163,140269,657,515,06037,6037
madera,2772,76,6,2835,2,5,06039,6039
marin,3268,390,8,3245,40,68,06041,6041
mendocino,1134,140,5,1195,13,7,06045,6045
merced,4994,76,5,5618,1,8,06047,6047
modoc,126,2,0,130,0,0,06049,6049
mono,126,26,0,139,1,2,06051,6051
monterey,6916,192,16,7221,17,37,06053,6053
napa,1712,108,3,1702,11,19,06055,6055
nevada,875,312,2,944,66,34,06057,6057
orange,41718,2496,89,42389,269,348,06059,6059
placer,5704,674,8,5847,69,64,06061,6061
plumas,182,32,3,166,1,5,06063,6063
riverside,34329,1428,71,36132,95,151,06065,6065
sacramento,20579,1668,29,21993,127,129,06067,6067
san benito,878,20,4,967,0,3,06069,6069
san bernardino,33939,1258,55,34471,83,105,06071,6071
san diego,45386,3224,107,46044,655,404,06073,6073
san francisco,6429,188,10,6742,22,33,06075,6075
san joaquin,12176,310,18,12572,30,32,06077,6077
san luis obispo,3072,320,5,3154,13,19,06079,6079
san mateo,9702,314,14,9608,20,34,06081,6081
santa barbara,6679,472,7,6674,47,41,06083,6083
santa clara,26175,850,59,26070,84,108,06085,6085
santa cruz,3518,610,13,3681,43,53,06087,6087
shasta,2158,358,1,2386,34,29,06089,6089
siskiyou,427,60,0,520,5,7,06093,6093
solano,5586,168,9,5919,16,16,06095,6095
sonoma,6698,628,15,6669,92,109,06097,6097
stanislaus,9367,426,15,9166,38,33,06099,6099
sutter,1897,296,6,1995,18,8,06101,6101
tehama,981,54,4,1024,5,8,06103,6103
trinity,125,40,0,144,0,0,06105,6105
tulare,9242,166,7,9243,5,10,06107,6107
tuolumne,547,78,1,570,17,11,06109,6109
ventura,12622,622,20,12247,73,77,06111,6111
yolo,2713,190,1,2830,17,8,06113,6113
yuba,1385,50,2,1478,2,1,06115,6115
