State,County,Enrollment_2014,PBE_2014,Enrollment_2015,PBE_2015,County_fips,lat,long,N_NON_PBE_2014,N_NON_PBE_2015
IL,adams,11395,47,11425,63,17001,40.01315218,-91.18344529,11348,11362
IL,alexander,982,9,774,12,17003,37.17631538,-89.339913,973,762
IL,bond,2139,14,2076,17,17005,38.911973,-89.43433386,2125,2059
IL,boone,10168,54,10239,58,17007,42.3475092,-88.7999046,10114,10181
IL,brown,857,3,830,4,17009,39.97673767,-90.789846,854,826
IL,bureau,5741,55,5557,57,17011,41.39410346,-89.47934371,5686,5500
IL,calhoun,685,2,732,2,17013,39.0950695,-90.65650075,683,730
IL,carroll,2351,23,2292,22,17015,42.05395086,-89.87305,2328,2270
IL,cass,2359,5,2485,9,17017,39.96503783,-90.2267325,2354,2476
IL,champaign,27464,191,26769,188,17019,40.1232917,-88.187236,27273,26581
IL,christian,5273,14,5243,22,17021,39.53528985,-89.31155662,5259,5221
IL,clark,2639,2,2656,3,17023,39.33440783,-87.7915135,2637,2653
IL,clay,2344,18,2330,17,17025,38.74151029,-88.500363,2326,2313
IL,clinton,6041,21,6026,26,17027,38.577905,-89.49034514,6020,6000
IL,coles,6788,42,6787,42,17029,39.50897357,-88.23311129,6746,6745
IL,cook,875400,4276,870564,4439,17031,41.87825107,-87.74603984,871124,866125
IL,crawford,3058,10,2946,12,17033,39.03740975,-87.74003525,3048,2934
IL,cumberland,1689,1,1636,8,17035,39.2856386,-88.2312544,1688,1628
IL,de witt,2794,14,2777,20,17039,40.16962938,-88.89151463,2780,2757
IL,dekalb,17306,184,17509,209,17037,41.90748379,-88.78010936,17122,17300
IL,douglas,3702,46,3665,45,17041,39.75817944,-88.18700167,3656,3620
IL,dupage,175630,2041,174244,2035,17043,41.82295102,-88.07026051,173589,172209
IL,edgar,3104,10,3058,8,17045,39.70378438,-87.801172,3094,3050
IL,edwards,946,1,944,3,17047,38.4175882,-88.0410924,945,941
IL,effingham,6017,45,6149,47,17049,39.0755055,-88.5818419,5972,6102
IL,fayette,2962,9,2675,12,17051,38.9890523,-88.9737557,2953,2663
IL,ford,2459,6,2446,12,17053,40.67667244,-88.252077,2453,2434
IL,franklin,5928,10,6341,13,17055,37.99059482,-88.97463418,5918,6328
IL,fulton,4865,15,4833,23,17057,40.46838625,-90.2245579,4850,4810
IL,gallatin,743,2,779,3,17059,37.773708,-88.23403117,741,776
IL,greene,2175,7,2106,8,17061,39.347294,-90.3774862,2168,2098
IL,grundy,13183,162,12716,150,17063,41.25569367,-88.39020144,13021,12566
IL,hamilton,1238,12,1288,10,17065,38.068676,-88.5423824,1226,1278
IL,hancock,3127,33,3111,13,17067,40.40848878,-91.17123072,3094,3098
IL,hardin,592,0,592,0,17069,37.479996,-88.26733175,592,592
IL,henderson,881,12,862,11,17071,40.846657,-90.95419963,869,851
IL,henry,8854,74,8870,88,17073,41.32267256,-90.16565638,8780,8782
IL,iroquois,4724,15,4739,13,17075,40.77318429,-87.81995163,4709,4726
IL,jackson,7374,51,7345,50,17077,37.78742763,-89.39900956,7323,7295
IL,jasper,1504,8,1496,3,17079,39.02590357,-88.12664957,1496,1493
IL,jefferson,5583,19,5862,20,17081,38.26546267,-88.90560392,5564,5842
IL,jersey,3068,13,2867,16,17083,39.05057,-90.3621285,3055,2851
IL,jo daviess,3489,73,3114,59,17085,42.40251922,-90.20319211,3416,3055
IL,johnson,1819,4,1859,5,17087,37.457608,-88.86851918,1815,1854
IL,kane,131212,1134,130606,1235,17089,41.93999817,-88.41891707,130078,129371
IL,kankakee,19891,97,19665,121,17091,41.13290694,-87.91452763,19794,19544
IL,kendall,24704,249,27605,297,17093,41.61197325,-88.48875613,24455,27308
IL,knox,7838,42,7917,31,17095,40.96211547,-90.21461288,7796,7886
IL,lake,143770,1017,137706,1042,17097,42.31141466,-87.92527903,142753,136664
IL,lasalle,16746,148,17240,154,17099,41.29867988,-88.92823246,16598,17086
IL,lawrence,2266,10,2278,10,17101,38.671765,-87.7114498,2256,2268
IL,lee,4378,51,4401,56,17103,41.7574502,-89.27110193,4327,4345
IL,livingston,6867,42,6748,42,17105,40.91076671,-88.54686506,6825,6706
IL,logan,3441,9,3481,17,17107,40.11446786,-89.37316121,3432,3464
IL,macon,17703,45,18100,41,17115,39.863201,-88.96494645,17658,18059
IL,macoupin,8867,40,8697,50,17117,39.251432,-89.91718386,8827,8647
IL,madison,45033,160,45654,189,17119,38.829648,-89.95981061,44873,45465
IL,marion,7041,20,5706,12,17121,38.65101109,-88.93934118,7021,5694
IL,marshall,1322,7,1286,4,17123,41.01742778,-89.30538422,1315,1282
IL,mason,2771,10,2771,13,17125,40.27211378,-89.87857867,2761,2758
IL,massac,1905,13,2392,20,17127,37.217041,-88.72126967,1892,2372
IL,mcdonough,3529,25,3526,21,17109,40.49037045,-90.64852736,3504,3505
IL,mchenry,54288,602,52514,709,17111,42.3078489,-88.3920164,53686,51805
IL,mclean,27191,245,27159,260,17113,40.50016932,-88.8693219,26946,26899
IL,menard,2342,28,2336,22,17129,40.0157905,-89.822224,2314,2314
IL,mercer,1393,33,1368,36,17131,41.20110892,-90.66478075,1360,1332
IL,monroe,6003,26,6047,27,17133,38.28004729,-90.15123814,5977,6020
IL,montgomery,4670,11,4588,12,17135,39.20450781,-89.48902606,4659,4576
IL,morgan,4484,15,5214,19,17137,39.72189427,-90.23892945,4469,5195
IL,moultrie,1691,11,1651,12,17139,39.6385758,-88.6816508,1680,1639
IL,ogle,9460,108,9164,109,17141,42.05211638,-89.2398675,9352,9055
IL,peoria,33189,196,32565,203,17143,40.74427873,-89.67069544,32993,32362
IL,perry,2998,2,2868,2,17145,38.0584998,-89.3850248,2996,2866
IL,piatt,2806,14,2743,16,17147,39.9847432,-88.6220436,2792,2727
IL,pike,2405,8,2572,3,17149,39.62424347,-90.83360193,2397,2569
IL,pope,547,11,528,12,17151,37.3402415,-88.54321375,536,516
IL,pulaski,938,35,948,38,17153,37.22906278,-89.10388311,903,910
IL,putnam,897,16,901,16,17155,41.227059,-89.28261357,881,885
IL,randolph,4917,3,4869,8,17157,38.06739173,-89.80430873,4914,4861
IL,richland,2683,21,2708,17,17159,38.70431367,-88.0712395,2662,2691
IL,rock island,25784,182,25614,205,17161,41.49984081,-90.55659748,25602,25409
IL,saline,3832,15,4199,14,17165,37.757371,-88.56096171,3817,4185
IL,sangamon,30530,82,32947,132,17167,39.76009438,-89.61314676,30448,32815
IL,schuyler,1164,7,1159,4,17169,40.14098017,-90.57041,1157,1155
IL,scott,901,8,224,0,17171,39.6121825,-90.42888925,893,224
IL,shelby,3398,5,3053,10,17173,39.38585238,-88.79275823,3393,3043
IL,st. clair,43834,192,44128,180,17163,38.51284861,-89.98441681,43642,43948
IL,stark,949,5,933,7,17175,41.08100229,-89.77011743,944,926
IL,stephenson,7134,47,7149,55,17177,42.3700798,-89.6677502,7087,7094
IL,tazewell,20689,223,20944,254,17179,40.52274782,-89.51651612,20466,20690
IL,union,2964,10,3011,8,17181,37.46327614,-89.27303029,2954,3003
IL,vermilion,13025,67,12912,79,17183,40.15673563,-87.75018096,12958,12833
IL,wabash,1880,10,1851,6,17185,38.4217618,-87.825522,1870,1845
IL,warren,2895,14,2895,13,17187,40.86812175,-90.62834463,2881,2882
IL,washington,2012,13,2088,8,17189,38.3401706,-89.3364935,1999,2080
IL,wayne,2621,16,2577,13,17191,38.41162964,-88.42962064,2605,2564
IL,white,2481,8,2487,12,17193,38.10898945,-88.17098173,2473,2475
IL,whiteside,10208,115,10199,118,17195,41.72210167,-89.91568175,10093,10081
IL,will,121862,1125,118082,1175,17197,41.48857992,-87.98845896,120737,116907
IL,williamson,10959,69,11047,80,17199,37.77253382,-88.98481155,10890,10967
IL,winnebago,52263,334,50931,393,17201,42.31529332,-89.12142746,51929,50538
