State FIPS Code,County FIPS Code,Origin_FIPS,State FIPS Code.1,County FIPS Code.1,Destination_FIPS,Workers in Commuting Flow,Outflow,Inflow
17.0,1.0,17001.0,17.0,1.0,17001.0,29300.0,31837.0,35217.0
17.0,1.0,17001.0,17.0,9.0,17009.0,558.0,31837.0,3921.0
17.0,1.0,17001.0,17.0,17.0,17017.0,10.0,31837.0,5757.0
17.0,1.0,17001.0,17.0,31.0,17031.0,19.0,31837.0,2548696.0
17.0,1.0,17001.0,17.0,57.0,17057.0,5.0,31837.0,9656.0
17.0,1.0,17001.0,17.0,63.0,17063.0,4.0,31837.0,17129.0
17.0,1.0,17001.0,17.0,67.0,17067.0,180.0,31837.0,5190.0
17.0,1.0,17001.0,17.0,77.0,17077.0,11.0,31837.0,30224.0
17.0,1.0,17001.0,17.0,109.0,17109.0,11.0,31837.0,15421.0
17.0,1.0,17001.0,17.0,113.0,17113.0,6.0,31837.0,92953.0
17.0,1.0,17001.0,17.0,115.0,17115.0,5.0,31837.0,53375.0
17.0,1.0,17001.0,17.0,119.0,17119.0,2.0,31837.0,105602.0
17.0,1.0,17001.0,17.0,137.0,17137.0,2.0,31837.0,16845.0
17.0,1.0,17001.0,17.0,143.0,17143.0,24.0,31837.0,107574.0
17.0,1.0,17001.0,17.0,149.0,17149.0,209.0,31837.0,5505.0
17.0,1.0,17001.0,17.0,167.0,17167.0,22.0,31837.0,110464.0
17.0,1.0,17001.0,17.0,169.0,17169.0,15.0,31837.0,2176.0
17.0,1.0,17001.0,17.0,177.0,17177.0,2.0,31837.0,20023.0
17.0,1.0,17001.0,17.0,181.0,17181.0,2.0,31837.0,5106.0
17.0,1.0,17001.0,17.0,195.0,17195.0,6.0,31837.0,22358.0
17.0,1.0,17001.0,18.0,59.0,18059.0,16.0,31837.0,20215.0
17.0,1.0,17001.0,18.0,97.0,18097.0,41.0,31837.0,547198.0
17.0,1.0,17001.0,19.0,13.0,19013.0,9.0,31837.0,74222.0
17.0,1.0,17001.0,19.0,87.0,19087.0,2.0,31837.0,9284.0
17.0,1.0,17001.0,19.0,101.0,19101.0,13.0,31837.0,8566.0
17.0,1.0,17001.0,19.0,111.0,19111.0,105.0,31837.0,18222.0
17.0,1.0,17001.0,19.0,113.0,19113.0,58.0,31837.0,122540.0
17.0,1.0,17001.0,19.0,153.0,19153.0,11.0,31837.0,270692.0
