Year,State,Population,ME,NME_Rel,NME_Phil,NME_tot,p_ME,p_NME_Rel,p_NME_Phil,p_NME_tot,Allow_NME_Phil,No_NME,Vaccine,Vaccination_rate
2016,Alabama,58394,62,367,0,367,0.001061753,0.006284892,0,0.006284892,N,N,MMR,0.938
2016,Alaska,9815,149,514,0,514,0.015180846,0.052368823,0,0.052368823,N,N,MMR,0.89
2016,Arizona,83627,134,0,4106,4106,0.001602353,0,0.049098975,0.049098975,Y,N,MMR,0.94
2016,Arkansas,39666,24,169,344,513,6.05E-04,0.004260576,0.008672415,0.01293299,N,N,MMR,0.919
2016,California,575305,2928,NA,NA,3217,0.005089474,0,0,0.005591817,N,Y,MMR,0.973
2016,Colorado,64440,NA,NA,NA,0,0.002,0.003,0.031,0.034,Y,N,MMR,0.873
2016,Connecticut,39002,107,701,0,701,0.002743449,0.017973437,0,0.017973437,N,N,MMR,0.967
2016,Delaware,11490,7,133,0,133,6.09E-04,0.011575283,0,0.011575283,N,N,MMR,0.985
2016,District of Columbia,8522,47,42,0,42,0.005515137,0.004928421,0,0.004928421,N,N,MMR,0.856
2016,Florida,224463,841,4725,0,4725,0.00374672,0.02105024,0,0.02105024,N,N,MMR,0.941
2016,Georgia,136165,198,3613,0,3613,0.001454118,0.026533985,0,0.026533985,N,N,MMR,0.933
2016,Hawaii,16325,20,455,0,455,0.001225115,0.027871363,0,0.027871363,N,N,MMR,0.935
2016,Idaho,22589,86,127,1265,1392,0.003807163,0.005622205,0.056000708,0.061622914,Y,N,MMR,0.899
2016,Illinois,151309,NA,NA,NA,0,0.002,0.012,0,0.012,N,N,MMR,0.949
2016,Indiana,83263,112,697,0,697,0.001345135,0.008371065,0,0.008371065,N,N,MMR,0.889
2016,Iowa,39587,79,622,0,622,0.001995605,0.015712229,0,0.015712229,N,N,MMR,0.926
2016,Kansas,38298,115,569,0,569,0.003002768,0.014857173,0,0.014857173,N,N,MMR,0.895
2016,Kentucky,51487,217,366,0,366,0.004214656,0.007108591,0,0.007108591,N,N,MMR,0.908
2016,Louisiana,55257,54,32,364,396,9.77E-04,5.79E-04,0.006587401,0.007166513,Y,N,MMR,0.971
2016,Maine,13834,32,36,622,658,0.002313142,0.002602284,0.044961689,0.047563973,Y,N,MMR,0.949
2016,Maryland,71467,391,628,0,628,0.005471057,0.008787272,0,0.008787272,N,N,MMR,0.993
2016,Massachussetts,70109,191,702,0,702,0.002724329,0.01001298,0,0.01001298,N,N,MMR,0.961
2016,Michigan,118777,213,872,3262,4134,0.001793276,0.007341489,0.027463229,0.034804718,Y,N,MMR,0.956
