Year,Year_begin,State,PME,PBE_religious,PBE_philosophical,PBE,Enrolled,Percent_PBE,Percent_PME,Percent_PBE_religious,Percent_PBE_philo,Year_change
2003-2004,2003,Alaska,172,128,0,128,8628,1.483541956,1.993509504,1.483541956,0,2013
2004-2005,2004,Alaska,240,212,0,212,8627,2.457401182,2.781963603,2.457401182,0,2013
2005-2006,2005,Alaska,166,169,0,169,9104,1.856326889,1.823374341,1.856326889,0,2013
2006-2007,2006,Alaska,96,208,0,208,8931,2.328966521,1.074907625,2.328966521,0,2013
2007-2008,2007,Alaska,92,172,,172,8918,1.928683561,1.03162144,1.928683561,0,2013
2008-2009,2008,Alaska,97,224,,224,9164,2.444347447,1.058489742,2.444347447,0,2013
2009-2010,2009,Alaska,123,282,,282,7364,3.829440521,1.670287887,3.829440521,0,2013
2012-2013,2012,Alaska,162,415,NA,415,10319,4.02170753,1.569919566,4.02170753,,2013
2013-2014,2013,Alaska,119,421,NA,421,10222,4.118567795,1.164155743,4.118567795,,2013
2014-2015,2014,Alaska,135,453,NA,453,10129,4.472307237,1.332806792,4.472307237,,2013
2015-2016,2015,Alaska,103,421,NA,421,9937,4.236691154,1.03653014,4.236691154,,2013
2016-2017,2016,Alaska,149,514,0,514,9815,5.236882323,1.518084564,5.236882323,0,2013
2017-2018,2017,Alaska,75,549,0,549,9692,5.664465539,0.77383409,5.664465539,0,2013
2003-2004,2003,California,693,,5938,5938,513519,1.156335014,0.13495119,0,1.156335014,2014
2004-2005,2004,California,747,,6340,6340,510074,1.242956904,0.146449339,0,1.242956904,2014
2005-2006,2005,California,778,,6794,6794,512733,1.325056121,0.151735894,0,1.325056121,2014
2006-2007,2006,California,827,0,7108,7108,503160,1.412671914,0.164361237,0,1.412671914,2014
2007-2008,2007,California,899,,7811,7811,499301,1.564387013,0.180051712,0,1.564387013,2014
2008-2009,2008,California,931,,9535,9535,503735,1.892860333,0.184819399,0,1.892860333,2014
2009-2010,2009,California,998,,10280,10280,507191,2.026849846,0.196770053,0,2.026849846,2014
2010-2011,2010,California,962,,11868,11868,509849,2.32774802,0.188683316,0,2.32774802,2014
2011-2012,2011,California,871,NA,12665,12665,529400,2.392330941,0.164525878,,2.392330941,2014
2012-2013,2012,California,923,NA,14921,14921,530418,2.813064413,0.174013702,,2.813064413,2014
2013-2014,2013,California,1017,NA,17253,17253,548606,3.144879932,0.185378942,,3.144879932,2014
2014-2015,2014,California,1066,2850,11143,13993,552583,2.532289267,0.192912196,0.515759623,2.016529644,2014
2015-2016,2015,California,993,3323,10684,14008,593788,2.359091123,0.167231402,0.559627342,1.799295371,2014
2016-2017,2016,California,2928,NA,NA,3217,575305,0.559181651,0.508947428,,,2014
2017-2018,2017,California,4190,NA,NA,5,574702,0.000870016,0.729073502,,,2014
2003-2004,2003,Connecticut,101,223,NA,223,52193,0.427260361,0.19351254,0.427260361,,2015
2004-2005,2004,Connecticut,117,276,,276,53354,0.517299546,0.219290025,0.517299546,0,2015
2005-2006,2005,Connecticut,100,218,0,218,45394,0.480239679,0.220293431,0.480239679,0,2015
2006-2007,2006,Connecticut,123,251,0,251,44382,0.56554459,0.277139381,0.56554459,0,2015
2007-2008,2007,Connecticut,106,241,,241,43295,0.556646264,0.244831967,0.556646264,0,2015
2008-2009,2008,Connecticut,110,367,,367,47320,0.775570583,0.232459848,0.775570583,0,2015
